X,Y,GLIF
650,721,on
661,721,off
668,711,on
674,702,off
669,691,on
601,554,on
661,596,off
737,596,on
805,596,off
831,552,on
869,491,off
806,366,on
780,314,off
712,235,off
639,181,off
567,154,off
537,154,on
470,154,off
443,198,on
438,205,off
433,219,on
419,191,on
363,79,off
235,-21,off
150,-21,on
86,-21,off
55,15,on
43,29,off
32,59,off
28,84,off
29,102,off
29,103,on
31,111,off
44,122,off
52,121,on
61,119,off
72,106,off
71,97,on
69,88,off
71,78,on
73,59,off
87,43,on
106,21,off
150,21,on
223,21,off
331,109,off
381,209,on
383,213,on
345,184,off
269,154,off
238,154,on
170,154,off
144,198,on
106,259,off
169,384,on
224,495,off
352,596,off
437,596,on
505,596,off
531,552,on
534,547,off
539,535,off
541,529,on
616,679,on
450,679,on
441,679,off
429,691,off
429,700,on
429,709,off
441,721,off
450,721,on

179,220,on
188,205,off
223,196,off
238,196,on
262,196,off
319,219,off
379,262,off
435,324,off
458,364,on
478,404,on
518,493,off
496,530,on
487,545,off
452,554,off
437,554,on
365,554,off
255,465,off
206,366,on
181,315,off
167,240,off

479,220,on
488,205,off
523,196,off
537,196,on
562,196,off
625,222,off
688,270,off
747,340,off
769,384,on
794,435,off
808,510,off
796,530,on
787,545,off
752,554,off
737,554,on
670,554,off
567,478,off
520,393,on
495,342,on
457,256,off
